,cp,municipio,provincia,ccaa
0,1001,vitoria_gasteiz,araba,pais_vasco
1,1002,vitoria_gasteiz,araba,pais_vasco
2,1003,vitoria_gasteiz,araba,pais_vasco
3,1004,vitoria_gasteiz,araba,pais_vasco
4,1005,vitoria_gasteiz,araba,pais_vasco
5,1006,vitoria_gasteiz,araba,pais_vasco
6,1007,vitoria_gasteiz,araba,pais_vasco
7,1008,vitoria_gasteiz,araba,pais_vasco
8,1009,vitoria_gasteiz,araba,pais_vasco
9,1010,vitoria_gasteiz,araba,pais_vasco
10,1012,vitoria_gasteiz,araba,pais_vasco
11,1013,vitoria_gasteiz,araba,pais_vasco
12,1015,vitoria_gasteiz,araba,pais_vasco
13,1110,campezo,araba,pais_vasco
14,1117,campezo,araba,pais_vasco
15,1118,bernedo,araba,pais_vasco
16,1120,arraia_maeztu,araba,pais_vasco
17,1128,bernedo,araba,pais_vasco
18,1129,arraia_maeztu,araba,pais_vasco
19,1130,zuia,araba,pais_vasco
20,1138,zigoitia,araba,pais_vasco
21,1139,zuia,araba,pais_vasco
22,1160,aramaio,araba,pais_vasco
23,1165,aramaio,araba,pais_vasco
24,1169,aramaio,araba,pais_vasco
25,1170,legutio,araba,pais_vasco
26,1171,legutio,araba,pais_vasco
27,1191,vitoria_gasteiz,araba,pais_vasco
28,1192,elburgo,araba,pais_vasco
29,1193,alegria_dulantzi,araba,pais_vasco
30,1194,bernedo,araba,pais_vasco
31,1195,vitoria_gasteiz,araba,pais_vasco
32,1196,zigoitia,araba,pais_vasco
33,1200,agurain,araba,pais_vasco
34,1206,barrundia,araba,pais_vasco
35,1207,iruraiz_gauna,araba,pais_vasco
36,1208,asparrena,araba,pais_vasco
37,1211,arminon,araba,pais_vasco
38,1212,berantevilla,araba,pais_vasco
39,1213,erriberagoitia,araba,pais_vasco
40,1216,bernedo,araba,pais_vasco
41,1220,arminon,araba,pais_vasco
42,1230,iruna_oka,araba,pais_vasco
43,1240,alegria_dulantzi,araba,pais_vasco
44,1250,asparrena,araba,pais_vasco
45,1260,asparrena,araba,pais_vasco
46,1300,laguardia,araba,pais_vasco
47,1306,lapuebla_de_labarca,araba,pais_vasco
48,1307,banos_de_ebro,araba,pais_vasco
49,1308,kripan,araba,pais_vasco
50,1309,elvillar,araba,pais_vasco
51,1320,oyon_oion,araba,pais_vasco
52,1321,laguardia,araba,pais_vasco
53,1322,moreda_de_alava,araba,pais_vasco
54,1330,labastida,araba,pais_vasco
55,1340,elciego,araba,pais_vasco
56,1400,laudio,araba,pais_vasco
57,1408,ayala,araba,pais_vasco
58,1409,okondo,araba,pais_vasco
59,1420,erriberagoitia,araba,pais_vasco
60,1423,erriberagoitia,araba,pais_vasco
61,1426,erriberagoitia,araba,pais_vasco
62,1427,valdegovia,araba,pais_vasco
63,1428,erriberagoitia,araba,pais_vasco
64,1430,kuartango,araba,pais_vasco
65,1439,kuartango,araba,pais_vasco
66,1440,urkabustaiz,araba,pais_vasco
67,1449,urkabustaiz,araba,pais_vasco
68,1450,amurrio,araba,pais_vasco
69,1468,amurrio,araba,pais_vasco
70,1470,amurrio,araba,pais_vasco
71,1474,artziniega,araba,pais_vasco
72,1476,ayala,araba,pais_vasco
73,1477,ayala,araba,pais_vasco
74,1478,artziniega,araba,pais_vasco
75,1479,ayala,araba,pais_vasco
76,1510,arratzua_ubarrundia,araba,pais_vasco
77,1520,arratzua_ubarrundia,araba,pais_vasco
78,2001,albacete,albacete,castilla_la_mancha
79,2002,albacete,albacete,castilla_la_mancha
80,2003,albacete,albacete,castilla_la_mancha
81,2004,albacete,albacete,castilla_la_mancha
82,2005,albacete,albacete,castilla_la_mancha
83,2006,albacete,albacete,castilla_la_mancha
84,2007,albacete,albacete,castilla_la_mancha
85,2008,albacete,albacete,castilla_la_mancha
86,2049,albacete,albacete,castilla_la_mancha
87,2071,albacete,albacete,castilla_la_mancha
88,2100,tarazona_de_la_mancha,albacete,castilla_la_mancha
89,2110,la_gineta,albacete,castilla_la_mancha
90,2120,penas_de_san_pedro,albacete,castilla_la_mancha
91,2124,alcadozo,albacete,castilla_la_mancha
92,2125,ayna,albacete,castilla_la_mancha
93,2127,penas_de_san_pedro,albacete,castilla_la_mancha
94,2129,pozohondo,albacete,castilla_la_mancha
95,2130,bogarra,albacete,castilla_la_mancha
96,2136,paterna_del_madera,albacete,castilla_la_mancha
97,2137,paterna_del_madera,albacete,castilla_la_mancha
98,2139,ayna,albacete,castilla_la_mancha
99,2140,albacete,albacete,castilla_la_mancha
101,2141,pozohondo,albacete,castilla_la_mancha
102,2142,lietor,albacete,castilla_la_mancha
103,2150,valdeganga,albacete,castilla_la_mancha
104,2151,casas_de_juan_nunez,albacete,castilla_la_mancha
105,2152,alatoz,albacete,castilla_la_mancha
106,2153,carcelen,albacete,castilla_la_mancha
107,2154,pozo_lorente,albacete,castilla_la_mancha
108,2155,albacete,albacete,castilla_la_mancha
109,2156,chinchilla_de_monte_aragon,albacete,castilla_la_mancha
110,2160,lezuza,albacete,castilla_la_mancha
111,2161,lezuza,albacete,castilla_la_mancha
112,2162,la_herrera,albacete,castilla_la_mancha
113,2200,casas_ibanez,albacete,castilla_la_mancha
114,2210,alcala_del_jucar,albacete,castilla_la_mancha
115,2211,alcala_del_jucar,albacete,castilla_la_mancha
116,2212,casas_de_ves,albacete,castilla_la_mancha
117,2213,balsa_de_ves,albacete,castilla_la_mancha
118,2214,alcala_del_jucar,albacete,castilla_la_mancha
119,2215,alborea,albacete,castilla_la_mancha
120,2220,motilleja,albacete,castilla_la_mancha
121,2230,madrigueras,albacete,castilla_la_mancha
122,2240,mahora,albacete,castilla_la_mancha
123,2246,navas_de_jorquera,albacete,castilla_la_mancha
124,2247,cenizate,albacete,castilla_la_mancha
